category,date,link,summery,title
health,2018-04-24T15:07:19 GMT,https://www.express.pk/story/1155660/9812,دفتر کا کام گھر میں کرنے کی عادت آپ کو نیند سے دور اور ڈپریشن سے قریب کردیتی ہے,پرسکون نیند کے لیے دفتر کا کام دفتر میں ہی چھوڑ آئیں
health,2018-04-24T05:21:23 GMT,https://www.express.pk/story/1155322/9812,مانع حمل ادویہ خواتین کے دماغوں میں دو اہم حصوں کو متاثر کرکے ان کی ساخت اور کاکردگی تبدیل کرسکتی ہیں، تحقیق,مانع حمل ادویہ سے خواتین کے دماغ سکڑنے کا انکشاف
health,2018-04-23T14:28:13 GMT,https://www.express.pk/story/1152605/9812,اس سے قبل ذہنی امراض مگرین، ڈپریشن اور بائی پالر ڈس آرڈر کی تشخیص کے لیے کوئی ٹیسٹ دستیاب نہیں تھا,دماغ کی اسکیننگ سے نفسیاتی امراض کا پتا چلانا ممکن
health,2018-04-23T05:30:44 GMT,https://www.express.pk/story/1155083/9812,سڑکوں پر تربوزکاشربت،گندم،جو اورگڑ سے تیار کردہ ستو،لیموں پانی،فالسہ کے جوس کے عارضی اسٹال لگ گئے۔,شدید گرمی میں فرحت بخش دیسی مشروبات روزگار کا ذریعہ بن گئے
health,2018-04-23T04:12:12 GMT,https://www.express.pk/story/1154659/9812,یہ اینٹی آکسیڈنٹ مائٹوکونڈریا پر اثر انداز ہوکر بوڑھے افراد میں خون کی نالیوں کو جوانوں کی طرح توانا بناتا ہے,خون کی رگوں کو جوان کرنے والا نایاب اینٹی آکسیڈنٹ دریافت
health,2018-04-23T03:07:00 GMT,https://www.express.pk/story/1154793/9812,سن گلاسز یا دھوپ کے چشموں کا استعمال آپ کی آنکھوں کو تراوٹ اور ٹھنڈک بخشتا ہے۔,دھوپ کے چشمے یا سن گلاسز، موسم گرما کی اہم ضرورت ہیں
health,2018-04-22T06:18:35 GMT,https://www.express.pk/story/1151691/9812,دنیا میں پانی کو محفوظ کرنے کے لیے کیا طریقے آزمائے اور ٹیکنالوجیز اپنائی جارہی ہیں,پانی کا ہر قطرہ سونا ؛ قلت آب کے سنگین ہوتے مسئلے سے نمٹنے کی جنگ
health,2018-04-22T04:42:28 GMT,https://www.express.pk/story/1152887/9812,سوشل میڈیا کمپنیوں نے زیادہ کلک اور زیادہ رقم کے لالچ میں لوگوں کی توجہ کو اغوا کرکھا ہے، ماہرین,بار بار اسمارٹ فون دیکھنے کی لت نشے کی مانند ہے، ماہرین
health,2018-04-21T06:41:45 GMT,https://www.express.pk/story/1152580,عالمی ادارہ صحت کے مطابق 2016ء میں ملیریا کی وجہ سے 4 لاکھ 45 ہزار اموات ہوئیں,ملیریا کے خاتمے کیلیے جدید ٹیکنالوجی استعمال کرنی ہوگی، بل گیٹس
health,2018-04-21T05:09:08 GMT,https://www.express.pk/story/1153005/9812,20 سال پہلے ٹائیفائیڈ عام دوا سے ٹھیک ہو جاتا تھا، اب دواؤں کا اثر ختم ہو گیا، ڈاکٹر نسیم صلاح الدین,ٹائیفائیڈ کے بیکٹیریا نے دواؤں کے خلاف مزاحمت پیدا کر لی
health,2018-04-21T04:00:51 GMT,https://www.express.pk/story/1153072/9812,مریضوں کوعالمی معیارکی طبی سہولتیں فراہم ہونگی، وزیراعظم پہلے اسپتال کاافتتاح پیر کو کریں گے۔,’’ذیابیطس‘‘ کے خاتمے کے لیے پاکستان اور یو اے ای کے درمیان معاہدہ طے
health,2018-04-20T14:05:05 GMT,https://www.express.pk/story/1151900/9812,چین نے فضائی آلودگی میں کمی کے لیے اقدامات کیے پاکستان، بنگلہ دیش اور بھار ت میں آلودگی مسلسل بڑھ رہی ہے,دنیا کی 95 فیصد آبادی آلودہ فضا میں سانس لینے پر مجبور، رپورٹ
health,2018-03-21T04:29:54 GMT,https://www.express.pk/story/1122688/9812,غذا کے اثرات میں صرف اس کی قسم ہی نہیں بلکہ اس کا وقت بھی اہمیت رکھتا ہے,وزن گھٹانے اوربہترگلوکوزکنٹرول کیلئے پیٹ بھرکرناشتہ کیجیے
health,2018-03-20T14:56:16 GMT,https://www.express.pk/story/1122502/9812,عمر رسیدہ افراد کو معمول کی چہل قدمی اور سیڑھیاں چڑھنے میں دشواری کا سامنا کرنا پڑتا ہے,ڈھلتی عمر کے ساتھ ٹانگوں کا درد شدت کیوں اختیار کرلیتا ہے؟
health,2018-03-20T05:11:06 GMT,https://www.express.pk/story/1122020/9812,منہ کے ابتدائی کینسرمیں نوجوان طالبعلم اوربچے بھی مبتلاہورہے ہیں، ماہرین طب,پاکستان میں منہ کے کینسر کی شرح ہولناک صورت اختیار کرنے لگی
health,2018-03-20T04:38:29 GMT,https://www.express.pk/story/1120049/9812,ایک درمیانے سائز کے سبز سیب میں لال سیب کے مدمقابل 6 گرام شوگر کم پائی جاتی ہے,ذیا بیطس کے مریضوں کےلیے کونسا سیب زیادہ فائدہ مند؟
health,2018-03-19T06:14:39 GMT,https://www.express.pk/story/1121347,بچوں میں گردن، کمر اور کندھوں میں درد کی شکایت عام ہوتی جا رہی ہے، ڈاکٹرنعمان,اسکول کے بھاری بیگ بچوں کی بیماریوں کاسبب بننے لگے
health,2018-03-19T04:44:59 GMT,https://www.express.pk/story/1121182/9812,عام طور پر پاؤں میں نمی رہنے سے فنگل انفیکشن ہوجاتا ہے جس سے پاؤں کی انگلیوں کی درمیانی جلد بھی سفید ہوجاتی ہے۔,دل کش و حسین پاؤں آپ کی شخصیت کا آئینہ ہیں
health,2018-03-19T04:41:47 GMT,https://www.express.pk/story/1121180/9812,اوائل عمر سے ہی کی گئی احتیاط کے ساتھ بڑھاپے کی رفتار کو سست کیا جاسکتا ہے۔ ,’جُھرّیاں‘ آپ کی توجہ چاہتی ہیں
health,2018-03-19T04:32:31 GMT,https://www.express.pk/story/1120609/9812,کارڈف یونیورسٹی کے سائنس دان فلو سے محفوظ رکھنے والی ویکسین کی ٹیبلٹ بنانے میں کامیاب ہوگئے,انجکشن نہیں گولی: کھائی جانے والی ویکسین تیار
health,2018-03-18T05:17:51 GMT,https://www.express.pk/story/1119153/9812,پاکستانی خواتین کو درپیش صحت کے مسائل۔,جان نازک سی، روگ بہتیرے
health,2018-03-18T05:00:10 GMT,https://www.express.pk/story/1119758/9812,ٹوتھ پیسٹ کے ساتھ متوازن غذا اور مکمل علاج ضروری ہیں,دانتوں کو ٹھنڈا گرم لگنے سے ٹوتھ پیسٹ نہیں بچاسکتا، تحقیق
health,2018-03-18T02:10:12 GMT,https://www.express.pk/story/1120221/9812, پاکستان میں پان،گٹکا، مین پوری،چھالیہ، نسوار، شیشہ اور تمباکونوشی سے منہ کاکینسرسرفہرست ہے، ماہرین,شوگر کے مریضوں کو دانتوں کی بیماریاں نظر انداز نہیں کرنا چاہئیں، ماہرین صحت
health,2018-03-17T15:17:00 GMT,https://www.express.pk/story/1115237/1,فالج کی علامات میں شدید سردرد، چکر، بینائی میں تبدیلی یا دھندلاہٹ، بولنے میں مشکلات وغیرہ شامل ہیں۔,فالج کا مقابلہ ان احتیاطی تدابیر سے کریں
health,2018-04-15T05:13:42 GMT,https://www.express.pk/story/1146697/9812,کرہ ارض کا تیزی سے تبدیل ہوتا درجہ حرارت اور اس سے برپا ہونے والا موسمی تغیر انسانی جانوں کے لیے خطرہ بنتا جارہا ہے,جما دینے والی سردی اور جھلسا دینے والی گرمی کی ہلاکت خیزی سے بچیں
health,2018-04-15T03:46:47 GMT,https://www.express.pk/story/1146092/9812,"انسانی نفسیات میں پڑنے والی گرہ کے شاخسانہ سے جنم لینے والے امراض
", فوبیا؛ دماغی الجھنوں کا عجیب و غریب اظہار
health,2018-04-14T13:35:10 GMT,https://www.express.pk/story/1146011/9812,یونیورسٹی آف کیلی فورنیا کے ماہرین نے کہا ہے کہ کرسی کی عادت یادداشت کے لیے نقصان دہ ہے,دیر تک بیٹھے رہنے کی عادت حافظے کے لیے نقصان دہ
health,2018-04-14T05:00:34 GMT,https://www.express.pk/story/1145169/9812,اگر والدین ورزش کے عادی ہیں تو اس کے فائدے اگلی نسل میں بھی دیکھے جاسکتے ہیں، جرمن ماہرین,ورزش کے دماغی فوائد اگلی نسل میں بھی منتقل ہوتے ہیں، تحقیق
health,2018-04-13T13:21:01 GMT,https://www.express.pk/story/1145125/9812,رات کو دیر سے سونے سے موت کا خطرہ 10 فیصد بڑھ جاتا ہے، تحقیق,رات کو مستقل جاگنے کی عادت قبل از وقت موت کی وجہ بھی بن سکتی ہے
health,2018-04-13T06:13:45 GMT,https://www.express.pk/story/1144193/9812, یہ دنیا میں رپورٹ ہونے والا صرف چوتھا اور پاکستان کا پہلا کیس تھا,دہرے ناخن والے پاکستانی شہری کا نایاب طبی کیس
health,2018-04-12T14:45:15 GMT,https://www.express.pk/story/1144307/9812,ٹی بی کے مریضوں کے تھوک میں موجود کیمیکلز کو چوہے بہتر طور پر شناخت کرسکتے ہیں۔ ,چوہے ٹی بی کی بو سونگھنے کی بہترین صلاحیت رکھتے ہیں
health,2018-04-12T09:39:27 GMT,https://www.express.pk/story/1144755/9812,بچے کے والدین نے نانجنگ اسپتال کے مائع نائٹروجن ٹینک میں اپنے 4 عدد ایمبریوز محفوظ کروائے تھے,ماں باپ کی وفات کے 4 سال بعد بچے کی پیدائش
health,2018-04-12T05:15:45 GMT,https://www.express.pk/story/1143930/9812,کینسر کی مریضہ کا جبڑا مکمل طور پر تباہ ہو گیا تھا جس کے باعث وہ کھانے پینے اور بات کرنے سے قاصر تھیں,کینسر سے متاثرہ خاتون میں نیا ’’قدرتی جبڑا‘‘ اُگا لیا گیا
health,2018-04-12T05:06:41 GMT,https://www.express.pk/story/1144398/9812,یہ بیماری واریسیلا زوسٹر کے وائرس کی وجہ سے ہوتی ہے۔,چکن پوکس؛ ویکسینیشن اس سے بچاؤ کا واحد ذریعہ ہے
health,2018-04-11T20:59:17 GMT,https://www.express.pk/story/1144375/9812,اسے لال بُخار اس لیے کہا جاتا ہے کہ اس میں تیزبخار کے ساتھ ساتھ جسم پر سُرخ دانے نکل آتے ہیں۔,لال بُخار؛ پانچ سے پندرہ سال کے بچے زیادہ متاثر ہوتے ہیں
health,2018-04-11T13:07:56 GMT,https://www.express.pk/story/1142318/9812,جی ٹو کوائسینٹ اسٹیم سیل دماغی خلیات کی دوبارہ افزائش کرکے شکستہ دماغ کی مرمت کرسکتا ہے,دماغی نقصان کو ٹھیک کرنے والا اسٹیم سیل دریافت
health,2018-04-11T05:11:14 GMT,https://www.express.pk/story/1143166/9812,بار بار انگلی زخمی کرنے کی بجائے اسٹیکر لگانے سے ہر دس سے پندرہ منٹ بعد خون میں گلوکوزمعلوم کیا جاسکتا ہے۔,یہ اسٹیکر منٹوں میں بلڈ شوگر کی پیمائش کرسکتا ہے
health,2018-04-11T04:46:53 GMT,https://www.express.pk/story/1143402/1,دنیا بھرمیں60لاکھ افراد رعشہ میں مبتلاہیں، ڈاکٹرشاہدمصطفی،پروفیسرواسع,رعشہ کا مرض بڑھاپے کا ردعمل نہیں، ماہرین طب
health,2018-04-11T04:44:05 GMT,https://www.express.pk/story/1143411/1,اسمارٹ فون پر مبنی صحت کی ایپلی کیشن ’’طبّی‘‘ صحت عامہ کے تمام سرکاری اداروں میں استعمال کی جائے گی,سندھ حکومت نے ای ہیلتھ منصوبہ ’’طبی‘‘ کا آغاز کر دیا
health,2018-04-11T04:41:50 GMT,https://www.express.pk/story/1143420/1,2 مریضوں کو دماغ کے اندر پہلی بار لگائے جانے والے پیس میکرکے بعد رعشہ کے مرض پر قابو پا لیا گیا، پروفیسر ستار ہاشم,دماغ میں ڈیوائس لگا کر رعشہ کے مریضوں کا کامیاب علاج
health,2018-04-10T05:52:45 GMT,https://www.express.pk/story/1142004/9812,وائپس بچوں کی جلد سے خشک نہیں ہو پاتے اور جلد کے جذب کرنے کی صلاحیت ختم کردیتے ہیں,صفائی کے لیے استعمال ہونے والے ’ وائپس‘ فوڈ الرجی کا سبب
health,2018-04-10T05:12:41 GMT,https://www.express.pk/story/1142471/9812,انڈس اسپتال میں روز2ہزارمریض آتے ہیں، یومیہ30بسترخالی ہوتے ہیں،مریضوں کی تعداد بڑھ رہی ہے۔,پاکستان میں بچوں کی شرح اموات دنیا میں سب سے زیادہ ہے، ڈاکٹر باری
health,2018-04-09T14:35:37 GMT,https://www.express.pk/story/1141282/9812,مہنگی اینٹی بایوٹکس کے بجائے کم قیمت شکر سے زخموں کا علاج طب میں انقلاب برپا کر سکتا ہے,شکر کا ’میٹھا مرہم‘  اینٹی بایوٹکس کا نعم البدل
health,2018-04-09T04:55:54 GMT,https://www.express.pk/story/1141350/9812,ہزاروں میل دور موجود بچوں کی عین اسی طرح تشخیص ممکن ہے جیسا کہ وہ سامنے بیٹھے ہوں,ٹیلی میڈیسن سے نومولود بچوں میں نابینا پن کی تشخیص ممکن
health,2018-04-08T07:00:53 GMT,https://www.express.pk/story/1139812/9812,مریض کوآدھا مار دینے والے اس جملے کے خوف سے ہم کب آزاد ہوں گے؟,تمہیں کینسر ہے۔۔۔
health,2018-04-08T03:59:34 GMT,https://www.express.pk/story/1140735/9812,لہسن کیل مہاسوں کے خاتمے، نزلہ کی روک تھام، وزن کم کرنے، بال اگانے، مچھر بھگانے و وزن کنٹرول کرنے میں بھی معاون ہے,کھانوں کا اہم جز لہسن متعدد فوائد کا حامل
health,2018-04-07T09:50:48 GMT,https://www.express.pk/story/1140391/9812,ورلڈ ہیلتھ آرگنائزیشن کی جانب سے ’عالمی یوم صحت‘ ہر سال 7 اپریل کو منایا جاتا ہے,پاکستان سمیت دنیا بھر میں آج ’عالمی یوم صحت‘ منایا جا رہا ہے
health,2018-04-07T05:50:11 GMT,https://www.express.pk/story/1139954/9812,نئی تحقیق سے عشروں قبل کا یہ مفروضہ ختم ہوگیا ہے کہ بوڑھے افراد کے دماغ نئے خلیات نہیں بناتے,بوڑھے افراد کے دماغوں میں بھی نوجوانوں کی طرح نئے خلیات بنتے ہیں، تحقیق
health,2018-03-24T17:42:10 GMT,https://www.express.pk/story/1125750/508,اس ٹیکنالوجی کے استعمال سے غذائی عادات کو قابو رکھنے کے لیے ڈائٹ چارٹس اور دیگر جھنجھٹ سے نجات مل جائے گی,دانتوں پر سنسر نصب کرکے کھانے پینے کی اشیا پر نظر رکھنا ممکن
health,2018-03-24T09:16:15 GMT,https://www.express.pk/story/1126483/9812,ٹی بی سے سب سے زیادہ ہلاکتیں بھارت، انڈونیشیا، چائنا، فلپائن، پاکستان اور نائیجیریا میں ہوتی ہیں,ٹی بی کا عالمی دن: مہلک بیماری میں پاکستان کا پانچواں نمبر
